canonical_key,brand_name,product_line_name,line_category,mixing_ratio_default,developer_default_volume,processing_time_default_minutes,technical_defaults_json,region_or_market,apparent_status,parent_company
Wella Professionals::Illumina Color::US,Wella Professionals,Illumina Color,permanent,,,,,US,active,Wella Company
Wella Professionals::Color Touch::US,Wella Professionals,Color Touch,demi,1:2,6,20,"{""mixing_ratio"": ""1:2"", ""developer_volume"": 6, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": ""1:2 (1 part Color Touch + 2 parts Color Touch Emulsion 1.9% or 4%); Color Touch Plus 1:2 with Color Touch Plus Emulsion 4%; iNSTAMAT!C 1:1; Special Mix used within 1:2 total mix"", ""developer_options"": [""Color Touch Emulsion 1.9%"", ""Color Touch Emulsion 4%"", ""Color Touch Plus Emulsion 4% (for Color Touch Plus only)"", ""wella_color_touch_relights_touch_of_gloss: {\""formula\"": \""1 part /00 + 3 parts 1.9% Color Touch Emulsion\"", \""processing_time_min\"": 5, \""application\"": \""pre-shampooed hair\""}"", ""wella_color_touch_instamatic_processing_and_neutralization: {\""developer_options\"": [\""1.9%\"", \""4%\""], \""processing_time_min\"": [5, 20], \""neutralization_examples\"": {\""orange\"": \""Ocean Storm\"", \""yellow\"": \""Muted Mauve\"", \""red\"": \""Jaded Mint\""}, \""color_id_ratio\"": \""10:10:1 Instamatic:Emulsion:Color.id\""}""], ""developer_strengths_if_stated"": [""1.9% (6 vol per US store formulas) - same depth or darkening with soft regrowth; toning blondes; soft grey blending; after perm/straightening"", ""4% - increased colour vibrancy; colouring coarse hair types; intense grey blending; up to 70% grey coverage with Plus; low lift""], ""processing_time_ranges"": [""20 min without heat; 15 min with heat (Climazon) - core Color Touch and Color Touch Plus"", ""Blonde toning: 5-20 min, visually develop until desired result (distributor guide)"", ""Relights: blonde shades 5-10 min without heat; red shades 15-20 min without heat (technical folder)"", ""iNSTAMAT!C: 5-20 min depending on intensity, without heat (technical folder)"", ""Color balancing: watch for visual development 5-15 min (technical folder)"", ""wella_color_touch_relights_touch_of_gloss: 5"", ""wella_color_touch_instamatic_processing_and_neutralization: [5, 20]""]}}",US,active,Wella Company
Wella Professionals::Shinefinity::US,Wella Professionals,Shinefinity,toner,,,,,US,active,Wella Company
Wella Professionals::Color Fresh::US,Wella Professionals,"Color Fresh (incl. Color Fresh Create, Color Fresh Masks)",semi,,,,,US,active,Wella Company
Wella Professionals::Blondor::US,Wella Professionals,"Blondor (incl. BlondorPlex, Blondor Freelights, Blondor Toner)",lightener,,,,,US,active,Wella Company
Wella Professionals::Magma::global,Wella Professionals,Magma,mixed_system,,,,,global,active,Wella Company
Schwarzkopf Professional::IGORA ROYAL::US,Schwarzkopf Professional,IGORA ROYAL,permanent,1:1,20,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": [""igora_royal_standard_mix_process: \""1:1\"""", ""igora_fashion_lights_off_scalp_only: \""1:1\"""", ""igora_royal_natural_standard_use: \""1:1\"""", ""igora_royal_fashion_lights: \""1:1\""""], ""developer_options"": [""IGORA ROYAL Oil Developer 3% (10 Vol.)"", ""IGORA ROYAL Oil Developer 6% (20 Vol.)"", ""IGORA ROYAL Oil Developer 9% (30 Vol.)"", ""IGORA ROYAL Oil Developer 12% (40 Vol.)"", ""igora_royal_standard_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer_volumes\"": [10, 20, 30], \""processing_time_min\"": [30, 45], \""apply_to\"": \""dry_unwashed_hair\""}"", ""igora_fashion_lights_off_scalp_only: {\""mixing_ratio\"": \""1:1\"", \""developer_volume\"": 40, \""processing_time_min\"": [30, 45], \""max_lift_levels\"": 5, \""application\"": \""off_scalp_only\"", \""starting_level_max\"": 6}"", ""igora_royal_natural_standard_use: {\""white_hair_coverage_pct\"": 100, \""mixing_ratio\"": \""1:1\"", \""developer_volumes\"": [10, 20, 30], \""processing_time_min\"": [30, 45], \""notes\"": \""Natural shades cover up to level 9.\""}"", ""igora_royal_fashion_lights: {\""usage\"": \""lift and color in one step\"", \""max_lift_levels\"": 5, \""mixing_ratio\"": \""1:1\"", \""developer_volume\"": 40, \""processing_time_min\"": [30, 45], \""application\"": \""off_scalp_only\"", \""starting_base\"": \""6 and darker; dark or colored bases\""}"", ""igora_royal_virgin_application: {\""apply_to\"": \""dry_unwashed_hair\"", \""steps\"": [\""apply first on mid-lengths and ends in fine sections leaving 1/2 inch regrowth out\"", \""develop 10 minutes or 15 minutes for Fashion Shades\"", \""apply to regrowth\"", \""develop 30-45 minutes\""]}"", ""igora_royal_regrowth_application: {\""apply_to\"": \""dry_unwashed_hair\"", \""steps\"": [\""apply color only to regrowth area first in fine sections\"", \""develop 15-20 minutes\"", \""apply IGORA ROYAL or IGORA VIBRANCE demi-permanent color to mid-lengths and ends\"", \""develop 10-15 minutes\""]}"", ""igora_royal_dual_application: {\""description\"": \""Permanent IGORA ROYAL for regrowth with IGORA VIBRANCE non-ammonia demi-permanent color for mid-lengths and ends.\"", \""steps\"": [\""apply permanent IGORA ROYAL to regrowth first\"", \""develop 15-20 minutes depending on mids/ends product\"", \""apply IGORA VIBRANCE to mid-lengths and ends\"", \""development time depends on desired intensity and instructions\""]}""], ""developer_strengths_if_stated"": [""3% / 10 Vol."", ""6% / 20 Vol."", ""9% / 30 Vol."", ""12% / 40 Vol.""], ""processing_time_ranges"": [""IGORA ROYAL core: 30-45 minutes"", ""IGORA ROYAL ABSOLUTES: 30-45 minutes"", ""HIGHLIFTS Ultra Blonde (10-) and Special Blonde (12-): 30-45 minutes"", ""One chart block reads '1:1, Development time up to 20 minutes, Recommended 3% (10 Vol.)' - its product binding (likely Pastels or Silver Whites) is ambiguous in the scrambled text layout"", ""IGORA COLOR10 (companion line on same chart): 'in as little as 10 minutes'"", ""igora_royal_standard_mix_process: [30, 45]"", ""igora_fashion_lights_off_scalp_only: [30, 45]"", ""igora_royal_natural_standard_use: [30, 45]"", ""igora_royal_fashion_lights: [30, 45]""]}}",US,active,Henkel
Schwarzkopf Professional::IGORA ZERO AMM::US,Schwarzkopf Professional,IGORA ZERO AMM,permanent,,,,,US,active,Henkel
Schwarzkopf Professional::IGORA VIBRANCE::US,Schwarzkopf Professional,IGORA VIBRANCE,demi,1:1,6,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 6, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": ""1:1 on all shades (IFU: 'IGORA VIBRANCE is formulated with an easy 1:1 mixing ratio on all shades')"", ""developer_options"": [""IGORA VIBRANCE Activator Gel 1.9% (6 Vol.) - gel consistency, ideal for bottle application"", ""IGORA VIBRANCE Activator Lotion 1.9% (6 Vol.) - cream consistency, bowl & brush"", ""IGORA VIBRANCE Activator Lotion 4% (13 Vol.) - cream consistency, bowl & brush""], ""developer_strengths_if_stated"": [""1.9% / 6 Vol."", ""4% / 13 Vol.""], ""processing_time_ranges"": [""Mixing/usage table: development time 5-20 min"", ""Full head application: 10-20 min"", ""Placement or freehand application: 10-20 min"", ""Neutralization after lightening services: develop visually for 5-20 min"", ""Pastel toning: develop visually for 5-20 min"", ""Gloss service (0-00 without activator): leave for 5-20 minutes"", ""White hair blending (all listed white % bands): 20 min"", ""Dual-System Application: IGORA ROYAL on re-growth 10-20 min, then IGORA VIBRANCE on mid-lengths/ends another 10-20 min"", ""Official US FAQ: development time up to 20 minutes; 10-20 min for global/re-growth, 5-20 min for gloss""]}}",US,active,Henkel
Schwarzkopf Professional::Chroma ID::US,Schwarzkopf Professional,Chroma ID,direct_dye,,,,,US,active,Henkel
Schwarzkopf Professional::BlondMe::US,Schwarzkopf Professional,BLONDME,mixed_system,,,,,US,active,Henkel
Schwarzkopf Professional::IGORA VARIO BLOND::global,Schwarzkopf Professional,IGORA VARIO BLOND,lightener,,,,,global,active,Henkel
Goldwell::Topchic::US,Goldwell,Topchic,permanent,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": ""1:1 color:TOPCHIC Cream Developer Lotion"", ""developer_options"": [""TOPCHIC Cream Developer Lotion 3% (10 vol.)"", ""6% (20 vol.)"", ""9% (30 vol.)"", ""12% (40 vol.)""], ""developer_strengths_if_stated"": ""Virgin-hair deposit/lift table on Color Guide"", ""processing_time_ranges"": null}}",US,active,Kao Corporation (Kao Salon Division)
Goldwell::Topchic Zero::US,Goldwell,Topchic Zero,permanent,,,,,US,active,Kao Corporation (Kao Salon Division)
Goldwell::Colorance::US,Goldwell,"Colorance (incl. Cover Plus, Gloss Tones)",demi,2:1,,25,"{""mixing_ratio"": ""2:1"", ""developer_volume"": null, ""processing_time_minutes"": 25, ""raw"": {""default_mixing_ratio"": ""2:1 Colorance Lotion : color (standard); Cover Plus 2:1 Cover Plus Lotion"", ""developer_options"": [""Colorance Lotion"", ""Colorance Cover Plus Lotion"", ""Colorance Express Toning Lotion""], ""developer_strengths_if_stated"": ""Colorance Lotion only (demi deposit)"", ""processing_time_ranges"": [""Up to 25 minutes standard; Express Toning 5 minutes""]}}",US,active,Kao Corporation (Kao Salon Division)
Goldwell::Elumen::US,Goldwell,Elumen (incl. Elumen Play),direct_dye,,,,,US,active,Kao Corporation (Kao Salon Division)
Goldwell::SilkLift::US,Goldwell,LightDimensions SilkLift,lightener,,,,,US,active,Kao Corporation (Kao Salon Division)
Goldwell::Oxycur Platin::US,Goldwell,Oxycur Platin,lightener,,,,,US,active,Kao Corporation (Kao Salon Division)
Goldwell::@Pure Pigments::US,Goldwell,@Pure Pigments,direct_dye,,,,,US,active,Kao Corporation (Kao Salon Division)
Matrix::SoColor::US,Matrix,SoColor (Pre-Bonded),permanent,1:1,20,38,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 38, ""raw"": {""default_mixing_ratio"": [""matrix_socolor_standard_usage: \""1:1\""""], ""developer_options"": [""Matrix Cream Developer 10 Volume (3%)"", ""Matrix Cream Developer 20 Volume (6%)"", ""Matrix Cream Developer 30 Volume (9%)"", ""Matrix Cream Developer 40 Volume (12%)"", ""matrix_socolor_standard_usage: {\""mixing_ratio\"": \""1:1\"", \""processing_time_min\"": [30, 45], \""process_45_when\"": [\""lifting more than 1 level\"", \""depositing on gray\"", \""maximum deposit\""], \""application\"": \""clean dry hair\""}""], ""developer_strengths_if_stated"": [""10 Volume: Up to 1 Level of lightening action"", ""20 Volume: Up to 2 Levels of lightening action"", ""30 Volume: Up to 3 Levels of lightening action"", ""40 Volume: Up to 4 Levels of lightening action"", ""'In general, when lifting beyond one level, for every 10 Volume of Matrix Cream Developer used, you will achieve up to one level of lift.'"", ""Extra Coverage and DreamAge: 20 Volume (6%)"", ""Ultra Blonde: 30 Volume (9%) for maximum neutralization, 40 Volume (12%) for maximum lift"", ""After a texture service (post 14-day wait): may not exceed 20 volume""], ""processing_time_ranges"": [""Blended Collection: 30-45 minutes room temperature (*full 45 minutes when lifting more than 1 level and when depositing on gray); FAQ states 'Blended: 30min'"", ""Reflect Collection: 30-45 minutes room temperature; FAQ states 'Reflect: 30min'"", ""Extra Coverage: up to 45 minutes room temperature (*full 45 minutes for resistant gray hair); FAQ states 'Extra Coverage: 30-45min'"", ""DreamAge: up to 45 minutes room temperature; FAQ states 'Dream Age: 30-45min'"", ""Ultra Blonde: 50 minutes room temperature (*full 50 minutes for maximum lift + neutralization)"", ""HD Reds: 30-45 minutes room temperature; FAQ states 'HD Reds: 30min'"", ""Power Cools: 30min (FAQ)"", ""SoColor 10 min: 10 minutes (5-minute buffer window between minutes 10-15)"", ""SoRed: highlighter use up to 15 minutes with heat + 5 minutes cool; booster use 30 minutes room temperature"", ""Extra Blonding Cream formulas: 30-45 minutes room temperature"", ""Base Adjust technique: 5-10 minutes including application"", ""Strand test: 10-20 minutes"", ""matrix_socolor_standard_usage: [30, 45]""]}}",US,active,L'Oréal (Professional Products Division)
Matrix::SoColor Sync::US,Matrix,SoColor Sync,demi,1:1,20,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": [""matrix_socolor_sync_usage: \""1:1\""""], ""developer_options"": [""Matrix Cream Developer 10 Volume (3%)"", ""Matrix Cream Developer 20 Volume (6%) (recommended for gray blending on up to 75% gray hair)"", ""matrix_socolor_sync_usage: {\""mixing_ratio\"": \""1:1\"", \""developer\"": \""10 Volume Matrix Cream Developer\"", \""processing_time_min\"": 20, \""application\"": \""clean dry hair\"", \""porous_hair\"": \""lightly mist Instacure on mids and ends before blending through\""}""], ""developer_strengths_if_stated"": [""Standard: 10 Volume (3%) Matrix Cream Developer"", ""Gray blending on up to 75% gray: 20 Volume (6%) Matrix Cream Developer, adding Neutral, Gold or Warm Neutral shades"", ""Immediately following a Matrix Opti brand texture service: mixed only with 10 volume developer""], ""processing_time_ranges"": [""Alkaline Toners: 20 minutes room temperature ('Up to 20 minutes at Room temperature' in At a Glance)"", ""Fast Toners: 2-5 minutes at the back bar"", ""Clear: up to 20 minutes room temperature (*process 20 minutes for longest lasting results)"", ""HD Series: 20 minutes room temperature"", ""Refreshing over permanent color: process as needed, up to 20 minutes"", ""Immediately after an Opti texture service: up to 10 minutes, checking frequently"", ""Strand test: 10-20 minutes (Fast Toners: 2-5 minutes)"", ""matrix_socolor_sync_usage: 20""]}}",US,active,L'Oréal (Professional Products Division)
Matrix::Tonal Control::US,Matrix,Tonal Control Pre-Bonded,toner,1:1,10,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": [""matrix_tonal_control_usage: \""1:1\""""], ""developer_options"": [""10 Volume (3%) Matrix Cream Developer"", ""matrix_tonal_control_usage: {\""mixing_ratio\"": \""1:1\"", \""developer\"": \""10 Volume Matrix Cream Developer\"", \""processing_time_min\"": 20, \""application\"": \""dry or damp towel-dried hair\"", \""no_base_shift\"": true}""], ""developer_strengths_if_stated"": [""10 Vol only; no lift (manual p.44-45)""], ""processing_time_ranges"": [""20 minutes room temperature (manual p.44)"", ""matrix_tonal_control_usage: 20""]}}",US,active,L'Oréal (Professional Products Division)
Matrix::Light Master::US,Matrix,Light Master (incl. Light Master Pre-Bonded),lightener,1:1.5,30,50,"{""mixing_ratio"": ""1:1.5"", ""developer_volume"": 30, ""processing_time_minutes"": 50, ""raw"": {""default_mixing_ratio"": ""Classic off-scalp 1:1.5–1:2; Pre-Bonded off-scalp 1:1.5–1:2; on-scalp 1:2 (manual pp.70-71)"", ""developer_options"": [""Matrix Cream Developer 10 Volume"", ""Matrix Cream Developer 20 Volume"", ""Matrix Cream Developer 30 Volume"", ""Matrix Cream Developer 40 Volume (off-scalp maximum)""], ""developer_strengths_if_stated"": [""Off-scalp up to 40 volume; on-scalp up to 30 volume (manual pp.70-71)""], ""processing_time_ranges"": [""Up to 50 minutes; do not use heat; do not cover hair or gather in a bun for on-scalp (manual pp.70-71)""]}}",US,active,L'Oréal (Professional Products Division)
Matrix::SoColor Cult::US,Matrix,SoColor Cult (Vivids),direct_dye,no developer,,30,"{""mixing_ratio"": ""no developer"", ""developer_volume"": null, ""processing_time_minutes"": 30, ""raw"": {""default_mixing_ratio"": ""Direct application — no developer required"", ""developer_options"": [], ""developer_strengths_if_stated"": [""No developer needed (manual p.64-66)""], ""processing_time_ranges"": [""Up to 30 minutes (manual p.66)""]}}",US,active,L'Oréal (Professional Products Division)
Matrix::Super Sync::US,Matrix,Super Sync,unknown,1:1,10,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": ""1:1 (Super Sync + 10 Volume (3%) Matrix Cream Developer)"", ""developer_options"": [""10 Volume (3%) Matrix Cream Developer""], ""developer_strengths_if_stated"": [""10 Vol; up to 1 level lift (product positioning on chart)""], ""processing_time_ranges"": [""20 minutes room temperature on clean 80%+ dry hair (chart footer)""]}}",US,unclear,L'Oréal (Professional Products Division)
Joico::LumiShine Permanent Creme Color::US,Joico,LumiShine Permanent Crème Color,permanent,,,,,US,active,Henkel
Joico::LumiShine YouthLock Permanent Creme Color::US,Joico,LumiShine YouthLock Permanent Crème Color,permanent,,,,,US,active,Henkel
Joico::LumiShine Lumi10 Permanent Creme Color::US,Joico,LumiShine Lumi10 Permanent Crème Color,permanent,,,,,US,active,Henkel
Joico::LumiShine Demi-Permanent Creme Color::US,Joico,LumiShine Demi-Permanent Crème Color,demi,,,,,US,active,Henkel
Joico::LumiShine Demi-Permanent Liquid Color::US,Joico,LumiShine Demi-Permanent Liquid Color,demi,,,,,US,active,Henkel
Joico::Vero K-PAK Color::US,Joico,Vero K-PAK Color,permanent,,,,,US,active,Henkel
Joico::Blonde Life::US,Joico,Blonde Life,mixed_system,,,,,US,active,Henkel
Joico::Color Intensity::US,Joico,Color Intensity,direct_dye,,,,,US,active,Henkel
Kenra Professional::Kenra Color Permanent::US,Kenra Professional,Kenra Color Permanent,permanent,1:1,20,30,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 30, ""raw"": {""default_mixing_ratio"": ""1:1 with Kenra Color Permanent Developer"", ""developer_options"": [""10V"", ""20V"", ""30V"", ""40V""], ""developer_strengths_if_stated"": ""10V deposit/gray; 20V–40V lift per workbook chart"", ""processing_time_ranges"": ""30 minutes; up to 40 minutes for gray coverage""}}",US,active,Henkel
Kenra Professional::Kenra Color Demi-Permanent::US,Kenra Professional,Kenra Color Demi-Permanent,demi,1:2,9,25,"{""mixing_ratio"": ""1:2"", ""developer_volume"": 9, ""processing_time_minutes"": 25, ""raw"": {""default_mixing_ratio"": ""1:2 with Kenra Color Demi-Permanent Activator (9 Volume)"", ""developer_options"": [""9 Volume Activator""], ""developer_strengths_if_stated"": ""9 Volume only"", ""processing_time_ranges"": ""25 minutes (workbook)""}}",US,active,Henkel
Kenra Professional::Kenra Color Creatives::US,Kenra Professional,Kenra Color Creatives (Semi-Permanent),semi,,,,"{""mixing_ratio"": null, ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": null, ""developer_options"": [], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,active,Henkel
Kenra Professional::Kenra Color Rapid Toners::US,Kenra Professional,Kenra Color Rapid Toners,toner,1:2,9,5,"{""mixing_ratio"": ""1:2"", ""developer_volume"": 9, ""processing_time_minutes"": 5, ""raw"": {""default_mixing_ratio"": ""1:2 with 9 Volume Activator"", ""developer_options"": [""9 Volume Activator""], ""developer_strengths_if_stated"": ""9 Volume"", ""processing_time_ranges"": ""5 minutes or less""}}",US,active,Henkel
Kenra Professional::Studio Stylist Express::US,Kenra Professional,Studio Stylist Express,permanent,1:1,10,10,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_minutes"": 10, ""raw"": {""default_mixing_ratio"": ""1:1 with Kenra Color Developer 10V–30V"", ""developer_options"": [""10V"", ""20V"", ""30V""], ""developer_strengths_if_stated"": ""10V–30V"", ""processing_time_ranges"": ""10 minutes or less (5 minutes for gray blending)""}}",US,active,Henkel
Kenra Professional::Simply Blonde::US,Kenra Professional,Simply Blonde,lightener,,,,,US,active,Henkel
Pravana::ChromaSilk Creme Color::US,Pravana,ChromaSilk Crème Color (Permanent),permanent,1:1.5,10,30,"{""mixing_ratio"": ""1:1.5"", ""developer_volume"": 10, ""processing_time_minutes"": 30, ""raw"": {""default_mixing_ratio"": ""1:1.5 (Color:Developer)"", ""developer_options"": [""ChromaSilk Creme Developer 10V"", ""ChromaSilk Creme Developer 20V"", ""ChromaSilk Creme Developer 30V"", ""ChromaSilk Creme Developer 40V""], ""developer_strengths_if_stated"": ""10V–40V per official product pages (\""creme developer 10-40V\"")"", ""processing_time_ranges"": ""30 minutes — up to 45 minutes (printed on product pages)""}}",US,active,Henkel
Pravana::ChromaSilk VIVIDS::US,Pravana,"ChromaSilk VIVIDS (Original, Neons, Pastels)",direct_dye,,,25,"{""mixing_ratio"": null, ""developer_volume"": null, ""processing_time_minutes"": 25, ""raw"": {""default_mixing_ratio"": null, ""developer_options"": [], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": ""20–30 minutes on several shade pages; not uniform across collection""}}",US,active,Henkel
Pravana::ChromaSilk VIVIDS Everlasting::US,Pravana,ChromaSilk VIVIDS Everlasting,permanent,,20,,"{""mixing_ratio"": null, ""developer_volume"": 20, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": ""10V or 20V only (no high-volume developer)"", ""developer_options"": [""10V"", ""20V""], ""developer_strengths_if_stated"": ""10V max deposit; 20V lighter/brighter (product pages)"", ""processing_time_ranges"": null}}",US,active,Henkel
Pravana::ChromaSilk Express Tones::US,Pravana,ChromaSilk Express Tones,toner,1:1.5,,5,"{""mixing_ratio"": ""1:1.5"", ""developer_volume"": null, ""processing_time_minutes"": 5, ""raw"": {""default_mixing_ratio"": ""1:1.5 (Tone:Zero Lift Developer)"", ""developer_options"": [""ChromaSilk Zero Lift Creme Developer""], ""developer_strengths_if_stated"": ""Zero Lift only (printed on product pages)"", ""processing_time_ranges"": ""5 minutes or less (printed on product pages)""}}",US,active,Henkel
Pravana::Pure Light::US,Pravana,"Pure Light (Power Lightener, Ultra Lightener)",lightener,,,,,US,active,Henkel
Paul Mitchell::The Color::global,Paul Mitchell,Paul Mitchell The Color,permanent,,,,,global,active,John Paul Mitchell Systems
Paul Mitchell::The Color XG::global,Paul Mitchell,Paul Mitchell Color XG (incl. CoverSmart),permanent,,,,,global,active,John Paul Mitchell Systems
Paul Mitchell::Crema XG::global,Paul Mitchell,Paul Mitchell Crema XG,demi,,,,,global,active,John Paul Mitchell Systems
