conversion_id,source_canonical_key,source_shade_code,target_canonical_key,target_shade_code,strategy,mapping_confidence,component_role,normalized_tones,notes,source_document
seq_04nb__vibrance,Redken::Shades EQ Gloss::US,04NB,Schwarzkopf Professional::IGORA VIBRANCE::US,4-46,fixed,high,base,,VIBRANCE formula: 4-46; Booklet misprint 4-64 corrected to 4-46 per G_qa_findings,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03nb__vibrance,Redken::Shades EQ Gloss::US,03NB,Schwarzkopf Professional::IGORA VIBRANCE::US,3-0,fixed,high,base,,VIBRANCE formula: 3-0 + 4-46 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09nw__vibrance,Redken::Shades EQ Gloss::US,09NW,Schwarzkopf Professional::IGORA VIBRANCE::US,9-0,fixed,high,base,,VIBRANCE formula: 9-0 + 9-00 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07nw__vibrance,Redken::Shades EQ Gloss::US,07NW,Schwarzkopf Professional::IGORA VIBRANCE::US,7-0,fixed,high,base,,VIBRANCE formula: 7-0,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05nw__vibrance,Redken::Shades EQ Gloss::US,05NW,Schwarzkopf Professional::IGORA VIBRANCE::US,6-63,fixed,high,base,,VIBRANCE formula: 6-63,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03nw__vibrance,Redken::Shades EQ Gloss::US,03NW,Schwarzkopf Professional::IGORA VIBRANCE::US,4-0,fixed,high,base,,VIBRANCE formula: 4-0 + 5-5 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09gi__vibrance,Redken::Shades EQ Gloss::US,09GI,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-4,fixed,high,base,,VIBRANCE formula: 9.5-4,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08gi__vibrance,Redken::Shades EQ Gloss::US,08GI,Schwarzkopf Professional::IGORA VIBRANCE::US,9-65,fixed,high,base,,VIBRANCE formula: 9-65 + 9-57 (1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09gb__vibrance,Redken::Shades EQ Gloss::US,09GB,Schwarzkopf Professional::IGORA VIBRANCE::US,9-55,fixed,high,base,,VIBRANCE formula: 9-55,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07gb__vibrance,Redken::Shades EQ Gloss::US,07GB,Schwarzkopf Professional::IGORA VIBRANCE::US,8-0,fixed,high,base,,VIBRANCE formula: 8-0 + 0-55 (19:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06gb__vibrance,Redken::Shades EQ Gloss::US,06GB,Schwarzkopf Professional::IGORA VIBRANCE::US,6-46,fixed,high,base,,VIBRANCE formula: 6-46,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09g__vibrance,Redken::Shades EQ Gloss::US,09G,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-5,fixed,high,base,,VIBRANCE formula: 9.5-5,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07g__vibrance,Redken::Shades EQ Gloss::US,07G,Schwarzkopf Professional::IGORA VIBRANCE::US,8-0,fixed,high,base,,VIBRANCE formula: 8-0 + 0-55 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06g__vibrance,Redken::Shades EQ Gloss::US,06G,Schwarzkopf Professional::IGORA VIBRANCE::US,6-63,fixed,high,base,,VIBRANCE formula: 6-63 + 0-55 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05g__vibrance,Redken::Shades EQ Gloss::US,05G,Schwarzkopf Professional::IGORA VIBRANCE::US,5-5,fixed,high,base,,VIBRANCE formula: 5-5,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03g__vibrance,Redken::Shades EQ Gloss::US,03G,Schwarzkopf Professional::IGORA VIBRANCE::US,5-5,fixed,high,base,,VIBRANCE formula: 5-5 + 4-0 + 5-57 (4:2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08gg__vibrance,Redken::Shades EQ Gloss::US,08GG,Schwarzkopf Professional::IGORA VIBRANCE::US,9-4,fixed,high,base,,VIBRANCE formula: 9-4 + 7-55 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06gg__vibrance,Redken::Shades EQ Gloss::US,06GG,Schwarzkopf Professional::IGORA VIBRANCE::US,7-55,fixed,high,base,,VIBRANCE formula: 7-55 + 8-0 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08wg__vibrance,Redken::Shades EQ Gloss::US,08WG,Schwarzkopf Professional::IGORA VIBRANCE::US,9-57,fixed,high,base,,VIBRANCE formula: 9-57 + 0-77 (19:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06wg__vibrance,Redken::Shades EQ Gloss::US,06WG,Schwarzkopf Professional::IGORA VIBRANCE::US,8-0,fixed,high,base,,VIBRANCE formula: 8-0 + 7-65 + 7-57 (1:1:0.5),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_04wg__vibrance,Redken::Shades EQ Gloss::US,04WG,Schwarzkopf Professional::IGORA VIBRANCE::US,4-46,fixed,high,base,,VIBRANCE formula: 4-46 + 4-6 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08c__vibrance,Redken::Shades EQ Gloss::US,08C,Schwarzkopf Professional::IGORA VIBRANCE::US,5-7,fixed,high,base,,VIBRANCE formula: 5-7 + 6-78 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07c__vibrance,Redken::Shades EQ Gloss::US,07C,Schwarzkopf Professional::IGORA VIBRANCE::US,7-77,fixed,high,base,,VIBRANCE formula: 7-77 + 6-78 + 6-68 (1:1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05c__vibrance,Redken::Shades EQ Gloss::US,05C,Schwarzkopf Professional::IGORA VIBRANCE::US,5-88,fixed,medium,base,,VIBRANCE formula: 5-56 + 5-88 (2:1); 5-56 not in US catalog; fallback to 5-88,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06aa__vibrance,Redken::Shades EQ Gloss::US,06AA,Schwarzkopf Professional::IGORA VIBRANCE::US,6-78,fixed,high,base,,VIBRANCE formula: 6-78 + 6-68 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03a__vibrance,Redken::Shades EQ Gloss::US,03A,Schwarzkopf Professional::IGORA VIBRANCE::US,4-68,fixed,high,base,,VIBRANCE formula: 4-68 + 0-88 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07cb__vibrance,Redken::Shades EQ Gloss::US,07CB,Schwarzkopf Professional::IGORA VIBRANCE::US,7-65,fixed,high,base,,VIBRANCE formula: 7-65 + 7-57 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06cb__vibrance,Redken::Shades EQ Gloss::US,06CB,Schwarzkopf Professional::IGORA VIBRANCE::US,6-68,fixed,high,base,,VIBRANCE formula: 7-57 + 6-68 + 6-6 (2:1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05cb__vibrance,Redken::Shades EQ Gloss::US,05CB,Schwarzkopf Professional::IGORA VIBRANCE::US,5-65,fixed,high,base,,VIBRANCE formula: 5-65 + 5-4 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09rb__vibrance,Redken::Shades EQ Gloss::US,09RB,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-49,fixed,high,base,,VIBRANCE formula: 9.5-49,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03rb__vibrance,Redken::Shades EQ Gloss::US,03RB,Schwarzkopf Professional::IGORA VIBRANCE::US,5-67,fixed,high,base,,VIBRANCE formula: 5-67 + 0-89 (9:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07cc__vibrance,Redken::Shades EQ Gloss::US,07CC,Schwarzkopf Professional::IGORA VIBRANCE::US,7-77,fixed,high,base,,VIBRANCE formula: 7-77 + 6-78 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05cc__vibrance,Redken::Shades EQ Gloss::US,05CC,Schwarzkopf Professional::IGORA VIBRANCE::US,4-68,fixed,high,base,,VIBRANCE formula: 4-68 + 0-88 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08cr__vibrance,Redken::Shades EQ Gloss::US,08CR,Schwarzkopf Professional::IGORA VIBRANCE::US,6-78,fixed,high,base,,VIBRANCE formula: 6-78 + 0-77 (9:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06cr__vibrance,Redken::Shades EQ Gloss::US,06CR,Schwarzkopf Professional::IGORA VIBRANCE::US,6-78,fixed,high,base,,VIBRANCE formula: 6-78 + 4-68 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06r__vibrance,Redken::Shades EQ Gloss::US,06R,Schwarzkopf Professional::IGORA VIBRANCE::US,5-88,fixed,high,base,,VIBRANCE formula: 5-88,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03r__vibrance,Redken::Shades EQ Gloss::US,03R,Schwarzkopf Professional::IGORA VIBRANCE::US,4-68,fixed,high,base,,VIBRANCE formula: 4-68 + 0-99 (19:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05rv__vibrance,Redken::Shades EQ Gloss::US,05RV,Schwarzkopf Professional::IGORA VIBRANCE::US,5-88,fixed,high,base,,VIBRANCE formula: 5-88 + 4-99 (6:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03rv__vibrance,Redken::Shades EQ Gloss::US,03RV,Schwarzkopf Professional::IGORA VIBRANCE::US,5-88,fixed,high,base,,VIBRANCE formula: 5-88 + 0-99 + 0-00 (1:1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09v__vibrance,Redken::Shades EQ Gloss::US,09V,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-19,fixed,high,base,,VIBRANCE formula: 9.5-19,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08v__vibrance,Redken::Shades EQ Gloss::US,08V,Schwarzkopf Professional::IGORA VIBRANCE::US,8-19,fixed,high,base,,VIBRANCE formula: 8-19,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07v__vibrance,Redken::Shades EQ Gloss::US,07V,Schwarzkopf Professional::IGORA VIBRANCE::US,8-19,fixed,high,base,,VIBRANCE formula: 8-19 + 0-22 (40:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_010vv__vibrance,Redken::Shades EQ Gloss::US,010VV,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-19,fixed,medium,base,,VIBRANCE formula: 9.5-19 + 9.5-1 + 10-1 (1:1:1); 10-1 not in catalog; primary 9.5-19,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09t__vibrance,Redken::Shades EQ Gloss::US,09T,Schwarzkopf Professional::IGORA VIBRANCE::US,9-1,fixed,high,base,,VIBRANCE formula: 9-1 + 8-11 (1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08t__vibrance,Redken::Shades EQ Gloss::US,08T,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-22 (15:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07t__vibrance,Redken::Shades EQ Gloss::US,07T,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-22 (9:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06t__vibrance,Redken::Shades EQ Gloss::US,06T,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-22 (4:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06gn__vibrance,Redken::Shades EQ Gloss::US,06GN,Schwarzkopf Professional::IGORA VIBRANCE::US,6-12,fixed,high,base,,VIBRANCE formula: 6-12,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09b__vibrance,Redken::Shades EQ Gloss::US,09B,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-22 (19:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_01b__vibrance,Redken::Shades EQ Gloss::US,01B,Schwarzkopf Professional::IGORA VIBRANCE::US,1-0,fixed,high,base,,VIBRANCE formula: 1-0,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09p__vibrance,Redken::Shades EQ Gloss::US,09P,Schwarzkopf Professional::IGORA VIBRANCE::US,9-1,fixed,high,base,,VIBRANCE formula: 9-1 + 8-11 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07p__vibrance,Redken::Shades EQ Gloss::US,07P,Schwarzkopf Professional::IGORA VIBRANCE::US,8-19,fixed,high,base,,VIBRANCE formula: 8-19 + 0-22 (19:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09aa__vibrance,Redken::Shades EQ Gloss::US,09AA,Schwarzkopf Professional::IGORA VIBRANCE::US,9-7,fixed,high,base,,VIBRANCE formula: 9-7 + 0-00 + 0-88 (1:1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03v__vibrance,Redken::Shades EQ Gloss::US,03V,Schwarzkopf Professional::IGORA VIBRANCE::US,3-0,fixed,high,base,,VIBRANCE formula: 3-0 + 3-19 + 5-88 (1:1:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_orange kicker__vibrance,Redken::Shades EQ Gloss::US,Orange Kicker,Schwarzkopf Professional::IGORA VIBRANCE::US,0-55,fixed,high,base,,VIBRANCE formula: 0-55 + 0-88 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_red kicker__vibrance,Redken::Shades EQ Gloss::US,Red Kicker,Schwarzkopf Professional::IGORA VIBRANCE::US,5-88,fixed,high,base,,VIBRANCE formula: 5-88 + 0-77 (9:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_violet kicker__vibrance,Redken::Shades EQ Gloss::US,Violet Kicker,Schwarzkopf Professional::IGORA VIBRANCE::US,0-89,fixed,high,base,,VIBRANCE formula: 0-89,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_pastel peach__vibrance,Redken::Shades EQ Gloss::US,Pastel Peach,Schwarzkopf Professional::IGORA VIBRANCE::US,9-7,fixed,high,base,,VIBRANCE formula: 9-7,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_pastel pink__vibrance,Redken::Shades EQ Gloss::US,Pastel Pink,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-98,fixed,high,base,,VIBRANCE formula: 9.5-98 + 9-7 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_pastel aqua blue__vibrance,Redken::Shades EQ Gloss::US,Pastel Aqua Blue,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-22 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_pastel silver green__vibrance,Redken::Shades EQ Gloss::US,Pastel Silver Green,Schwarzkopf Professional::IGORA VIBRANCE::US,8-11,fixed,high,base,,VIBRANCE formula: 8-11 + 0-33 (40:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
gels_10na__seq,Redken::Color Gels Lacquers::US,10NA,Redken::Shades EQ Gloss::US,010NA,fixed,high,base,Natural|Ash,Redken color melt shared code 10NA ↔ 010NA.,redken_color_melting_pairing_2b08.csv
seq_010na__gels,Redken::Shades EQ Gloss::US,010NA,Redken::Color Gels Lacquers::US,10NA,fixed,high,base,Natural|Ash,Redken color melt reverse 010NA ↔ 10NA.,redken_color_melting_pairing_2b08.csv
gels_10n__seq,Redken::Color Gels Lacquers::US,10N,Redken::Shades EQ Gloss::US,010N,fixed,high,base,Natural,Redken color melt shared code 10N ↔ 010N.,redken_color_melting_pairing_2b08.csv
seq_010n__gels,Redken::Shades EQ Gloss::US,010N,Redken::Color Gels Lacquers::US,10N,fixed,high,base,Natural,Redken color melt reverse 010N ↔ 10N.,redken_color_melting_pairing_2b08.csv
gels_10nw__seq,Redken::Color Gels Lacquers::US,10NW,Redken::Shades EQ Gloss::US,010NW,fixed,high,base,Natural|Warm,Redken color melt shared code 10NW ↔ 010NW.,redken_color_melting_pairing_2b08.csv
seq_010nw__gels,Redken::Shades EQ Gloss::US,010NW,Redken::Color Gels Lacquers::US,10NW,fixed,high,base,Natural|Warm,Redken color melt reverse 010NW ↔ 10NW.,redken_color_melting_pairing_2b08.csv
gels_9n__seq,Redken::Color Gels Lacquers::US,9N,Redken::Shades EQ Gloss::US,09N,fixed,high,base,Natural,Redken color melt shared code 9N ↔ 09N.,redken_color_melting_pairing_2b08.csv
seq_09n__gels,Redken::Shades EQ Gloss::US,09N,Redken::Color Gels Lacquers::US,9N,fixed,high,base,Natural,Redken color melt reverse 09N ↔ 9N.,redken_color_melting_pairing_2b08.csv
gels_8na__seq,Redken::Color Gels Lacquers::US,8NA,Redken::Shades EQ Gloss::US,08NA,fixed,high,base,Natural|Ash,Redken color melt shared code 8NA ↔ 08NA.,redken_color_melting_pairing_2b08.csv
seq_08na__gels,Redken::Shades EQ Gloss::US,08NA,Redken::Color Gels Lacquers::US,8NA,fixed,high,base,Natural|Ash,Redken color melt reverse 08NA ↔ 8NA.,redken_color_melting_pairing_2b08.csv
gels_8n__seq,Redken::Color Gels Lacquers::US,8N,Redken::Shades EQ Gloss::US,08N,fixed,high,base,Natural,Redken color melt shared code 8N ↔ 08N.,redken_color_melting_pairing_2b08.csv
seq_08n__gels,Redken::Shades EQ Gloss::US,08N,Redken::Color Gels Lacquers::US,8N,fixed,high,base,Natural,Redken color melt reverse 08N ↔ 8N.,redken_color_melting_pairing_2b08.csv
gels_8nw__seq,Redken::Color Gels Lacquers::US,8NW,Redken::Shades EQ Gloss::US,08NW,fixed,high,base,Natural|Warm,Redken color melt shared code 8NW ↔ 08NW.,redken_color_melting_pairing_2b08.csv
seq_08nw__gels,Redken::Shades EQ Gloss::US,08NW,Redken::Color Gels Lacquers::US,8NW,fixed,high,base,Natural|Warm,Redken color melt reverse 08NW ↔ 8NW.,redken_color_melting_pairing_2b08.csv
gels_8wg__seq,Redken::Color Gels Lacquers::US,8WG,Redken::Shades EQ Gloss::US,08WG,fixed,high,base,Gold|Warm,Redken color melt shared code 8WG ↔ 08WG.,redken_color_melting_pairing_2b08.csv
seq_08wg__gels,Redken::Shades EQ Gloss::US,08WG,Redken::Color Gels Lacquers::US,8WG,fixed,high,base,Gold|Warm,Redken color melt reverse 08WG ↔ 8WG.,redken_color_melting_pairing_2b08.csv
gels_7ab__seq,Redken::Color Gels Lacquers::US,7AB,Redken::Shades EQ Gloss::US,07AB,fixed,high,base,Ash|Blue,Redken color melt shared code 7AB ↔ 07AB.,redken_color_melting_pairing_2b08.csv
seq_07ab__gels,Redken::Shades EQ Gloss::US,07AB,Redken::Color Gels Lacquers::US,7AB,fixed,high,base,Ash|Blue,Redken color melt reverse 07AB ↔ 7AB.,redken_color_melting_pairing_2b08.csv
gels_7na__seq,Redken::Color Gels Lacquers::US,7NA,Redken::Shades EQ Gloss::US,07NA,fixed,high,base,Natural|Ash,Redken color melt shared code 7NA ↔ 07NA.,redken_color_melting_pairing_2b08.csv
seq_07na__gels,Redken::Shades EQ Gloss::US,07NA,Redken::Color Gels Lacquers::US,7NA,fixed,high,base,Natural|Ash,Redken color melt reverse 07NA ↔ 7NA.,redken_color_melting_pairing_2b08.csv
gels_7n__seq,Redken::Color Gels Lacquers::US,7N,Redken::Shades EQ Gloss::US,07N,fixed,high,base,Natural,Redken color melt shared code 7N ↔ 07N.,redken_color_melting_pairing_2b08.csv
seq_07n__gels,Redken::Shades EQ Gloss::US,07N,Redken::Color Gels Lacquers::US,7N,fixed,high,base,Natural,Redken color melt reverse 07N ↔ 7N.,redken_color_melting_pairing_2b08.csv
gels_7nw__seq,Redken::Color Gels Lacquers::US,7NW,Redken::Shades EQ Gloss::US,07NW,fixed,high,base,Natural|Warm,Redken color melt shared code 7NW ↔ 07NW.,redken_color_melting_pairing_2b08.csv
seq_07nw__gels,Redken::Shades EQ Gloss::US,07NW,Redken::Color Gels Lacquers::US,7NW,fixed,high,base,Natural|Warm,Redken color melt reverse 07NW ↔ 7NW.,redken_color_melting_pairing_2b08.csv
gels_7gb__seq,Redken::Color Gels Lacquers::US,7GB,Redken::Shades EQ Gloss::US,07GB,fixed,high,base,Gold|Beige,Redken color melt shared code 7GB ↔ 07GB.,redken_color_melting_pairing_2b08.csv
seq_07gb__gels,Redken::Shades EQ Gloss::US,07GB,Redken::Color Gels Lacquers::US,7GB,fixed,high,base,Gold|Beige,Redken color melt reverse 07GB ↔ 7GB.,redken_color_melting_pairing_2b08.csv
gels_7ro__seq,Redken::Color Gels Lacquers::US,7RO,Redken::Shades EQ Gloss::US,07RO,fixed,high,base,Red|Copper,Redken color melt shared code 7RO ↔ 07RO.,redken_color_melting_pairing_2b08.csv
seq_07ro__gels,Redken::Shades EQ Gloss::US,07RO,Redken::Color Gels Lacquers::US,7RO,fixed,high,base,Red|Copper,Redken color melt reverse 07RO ↔ 7RO.,redken_color_melting_pairing_2b08.csv
gels_7rr__seq,Redken::Color Gels Lacquers::US,7RR,Redken::Shades EQ Gloss::US,07RR,fixed,high,base,Red,Redken color melt shared code 7RR ↔ 07RR.,redken_color_melting_pairing_2b08.csv
seq_07rr__gels,Redken::Shades EQ Gloss::US,07RR,Redken::Color Gels Lacquers::US,7RR,fixed,high,base,Red,Redken color melt reverse 07RR ↔ 7RR.,redken_color_melting_pairing_2b08.csv
gels_6ab__seq,Redken::Color Gels Lacquers::US,6AB,Redken::Shades EQ Gloss::US,06AB,fixed,high,base,Ash|Brown,Redken color melt shared code 6AB ↔ 06AB.,redken_color_melting_pairing_2b08.csv
seq_06ab__gels,Redken::Shades EQ Gloss::US,06AB,Redken::Color Gels Lacquers::US,6AB,fixed,high,base,Ash|Brown,Redken color melt reverse 06AB ↔ 6AB.,redken_color_melting_pairing_2b08.csv
gels_6na__seq,Redken::Color Gels Lacquers::US,6NA,Redken::Shades EQ Gloss::US,06NA,fixed,high,base,Natural|Ash,Redken color melt shared code 6NA ↔ 06NA.,redken_color_melting_pairing_2b08.csv
seq_06na__gels,Redken::Shades EQ Gloss::US,06NA,Redken::Color Gels Lacquers::US,6NA,fixed,high,base,Natural|Ash,Redken color melt reverse 06NA ↔ 6NA.,redken_color_melting_pairing_2b08.csv
gels_6n__seq,Redken::Color Gels Lacquers::US,6N,Redken::Shades EQ Gloss::US,06N,fixed,high,base,Natural,Redken color melt shared code 6N ↔ 06N.,redken_color_melting_pairing_2b08.csv
seq_06n__gels,Redken::Shades EQ Gloss::US,06N,Redken::Color Gels Lacquers::US,6N,fixed,high,base,Natural,Redken color melt reverse 06N ↔ 6N.,redken_color_melting_pairing_2b08.csv
gels_6nw__seq,Redken::Color Gels Lacquers::US,6NW,Redken::Shades EQ Gloss::US,06NW,fixed,high,base,Natural|Warm,Redken color melt shared code 6NW ↔ 06NW.,redken_color_melting_pairing_2b08.csv
seq_06nw__gels,Redken::Shades EQ Gloss::US,06NW,Redken::Color Gels Lacquers::US,6NW,fixed,high,base,Natural|Warm,Redken color melt reverse 06NW ↔ 6NW.,redken_color_melting_pairing_2b08.csv
gels_6wg__seq,Redken::Color Gels Lacquers::US,6WG,Redken::Shades EQ Gloss::US,06WG,fixed,high,base,Gold|Warm,Redken color melt shared code 6WG ↔ 06WG.,redken_color_melting_pairing_2b08.csv
seq_06wg__gels,Redken::Shades EQ Gloss::US,06WG,Redken::Color Gels Lacquers::US,6WG,fixed,high,base,Gold|Warm,Redken color melt reverse 06WG ↔ 6WG.,redken_color_melting_pairing_2b08.csv
