brand,product_line,rule_category,rule_name,rule_condition,rule_action,source_key,evidence_status
Schwarzkopf Professional,IGORA ROYAL Extracts,lift,igora_royal_e0_lightening_extract_pure,"{""modifier_code"": ""E-0"", ""usage"": ""used_pure""}","{""max_lift_levels"": 4, ""mixing_ratio"": ""1:1"", ""developer_volume"": 40, ""processing_time_min"": [30, 45], ""hair_state"": ""virgin_hair""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Extracts,tone,igora_royal_e1_extra_cendre_additive_by_base,"{""modifier_code"": ""E-1"", ""usage"": ""mixed_with_target_shade""}","{""mixing_ratio_by_base"": [{""base_levels"": [8, 7], ""ratio"": ""2:1 shade:E-1""}, {""base_levels"": [6, 5], ""ratio"": ""1:1 shade:E-1""}, {""base_levels"": [1, 2, 3, 4], ""ratio"": ""1:2 shade:E-1""}], ""processing_time_min"": [30, 45], ""usage_note"": ""extra cool tone direction""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Extracts,tone,igora_royal_e1_extra_cendre_pure,"{""modifier_code"": ""E-1"", ""usage"": ""used_pure""}","{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_min"": [30, 45], ""usage"": ""extra deposit of cool pigments""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Absolutes,gray_coverage,igora_royal_absolutes_mature_hair,"{""line"": ""IGORA ROYAL Absolutes"", ""tone_codes"": [""40"", ""50"", ""60"", ""70"", ""80"", ""90""]}","{""white_hair_coverage_pct"": 100, ""mixing_ratio"": ""1:1"", ""developer_volume"": 30, ""processing_time_min"": [30, 45], ""tip"": ""For pure color deposit on more than 90% white hair use 20 vol.""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Fashion Lights,application,igora_royal_fashion_lights,"{""line"": ""IGORA ROYAL Fashion Lights"", ""shade_codes"": [""L-00"", ""L-44"", ""L-57"", ""L-77"", ""L-88"", ""L-89""]}","{""usage"": ""lift and color in one step"", ""max_lift_levels"": 5, ""mixing_ratio"": ""1:1"", ""developer_volume"": 40, ""processing_time_min"": [30, 45], ""application"": ""off_scalp_only"", ""starting_base"": ""6 and darker; dark or colored bases""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,developer,igora_royal_developer_10_vol_usage,"{""developer_volume"": 10}","{""recommended_uses"": [""coloring darker"", ""covering 100% white hair depending on texture"", ""color deposit on pre-lightened hair"", ""pastel shades""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,developer,igora_royal_developer_20_vol_usage,"{""developer_volume"": 20}","{""recommended_uses"": [""tone-on-tone"", ""white hair coverage"", ""lifting 1-2 levels"", ""can achieve 2 levels on fine hair"", ""Absolutes deposit >90% white hair""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,developer,igora_royal_developer_30_vol_usage,"{""developer_volume"": 30}","{""recommended_uses"": [""lifting 2-3 levels"", ""-00 series"", ""Absolutes gray coverage"", ""10-series up to 3 levels"", ""12-series 3-4 levels""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,developer,igora_royal_developer_40_vol_usage,"{""developer_volume"": 40}","{""recommended_uses"": [""Fashion Lights"", ""10-series 3-4 levels"", ""12-series 4-5 levels""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,application,igora_royal_virgin_application,"{""application_type"": ""virgin_hair""}","{""apply_to"": ""dry_unwashed_hair"", ""steps"": [""apply first on mid-lengths and ends in fine sections leaving 1/2 inch regrowth out"", ""develop 10 minutes or 15 minutes for Fashion Shades"", ""apply to regrowth"", ""develop 30-45 minutes""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,application,igora_royal_regrowth_application,"{""application_type"": ""regrowth""}","{""apply_to"": ""dry_unwashed_hair"", ""steps"": [""apply color only to regrowth area first in fine sections"", ""develop 15-20 minutes"", ""apply IGORA ROYAL or IGORA VIBRANCE demi-permanent color to mid-lengths and ends"", ""develop 10-15 minutes""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,application,igora_royal_dual_application,"{""application_type"": ""dual_application""}","{""description"": ""Permanent IGORA ROYAL for regrowth with IGORA VIBRANCE non-ammonia demi-permanent color for mid-lengths and ends."", ""steps"": [""apply permanent IGORA ROYAL to regrowth first"", ""develop 15-20 minutes depending on mids/ends product"", ""apply IGORA VIBRANCE to mid-lengths and ends"", ""development time depends on desired intensity and instructions""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
